0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
S1,S1,S1,S1,S1,S1,S1,S1,S1,S2,S2,S2,S2,S2,S2,S2,S2,S2,S3,S3,S3,S3,S3,S3,S3,S3,S3,S4,S4,S4,S4,S4,S4,S4,S4,S4
Agriculture,Btp,Construction automobile,Energie,Industrie (Hors Automobile),Services Marchands,Services Publics,Transports,Total,Agriculture,Btp,Construction automobile,Energie,Industrie (Hors Automobile),Services Marchands,Services Publics,Transports,Total,Agriculture,Btp,Construction automobile,Energie,Industrie (Hors Automobile),Services Marchands,Services Publics,Transports,Total,Agriculture,Btp,Construction automobile,Energie,Industrie (Hors Automobile),Services Marchands,Services Publics,Transports,Total
"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"-14,15","0,00","-14,15","-18,87","-117,92","-150,94","0,00","0,00","-316,04","0,00","16,67","0,00","-11,11","0,00","36,11","11,11","0,00","52,78","0,00","9,71","0,00","0,00","0,00","44,66","0,00","0,00","54,37","6,45","37,10","0,00","0,00","0,00","35,48","0,00","0,00","79,03"
"-23,58","23,58","-14,15","-18,87","-273,58","-264,15","-9,43","-37,74","-617,92","0,00","47,22","0,00","-11,11","-11,11","80,56","13,89","-13,89","105,56","5,83","19,42","0,00","0,00","-7,77","85,44","7,77","0,00","110,68","0,00","51,61","0,00","0,00","0,00","53,23","6,45","0,00","111,29"
"-37,74","42,45","-18,87","-18,87","-400,94","-429,25","-14,15","-42,45","-919,81","0,00","83,33","-5,56","0,00","-19,44","155,56","19,44","-30,56","202,78","11,65","29,13","-1,94","0,00","-11,65","143,69","13,59","0,00","184,47","19,35","59,68","0,00","0,00","0,00","98,39","6,45","0,00","183,87"
"-47,17","51,89","-37,74","-18,87","-500,00","-599,06","-14,15","-47,17","-1212,26","0,00","108,33","-2,78","0,00","-33,33","233,33","30,56","-66,67","269,44","15,53","40,78","-5,83","5,83","-17,48","203,88","15,53","-3,88","254,37","24,19","67,74","4,84","0,00","0,00","150,00","11,29","0,00","258,06"
"-51,89","56,60","-42,45","-18,87","-570,75","-735,85","-28,30","-70,75","-1462,26","0,00","127,78","-5,56","0,00","-44,44","327,78","36,11","-72,22","369,44","17,48","50,49","-7,77","9,71","-19,42","262,14","17,48","-3,88","326,21","32,26","67,74","9,68","0,00","0,00","208,06","9,68","0,00","327,42"
"-56,60","51,89","-47,17","-18,87","-627,36","-863,21","-28,30","-84,91","-1674,53","0,00","138,89","-11,11","-2,78","-61,11","425,00","41,67","-86,11","444,44","17,48","56,31","-5,83","11,65","-31,07","324,27","23,30","-5,83","390,29","37,10","69,35","12,90","4,84","8,06","269,35","11,29","0,00","412,90"
"-51,89","37,74","-51,89","-18,87","-665,09","-962,26","-18,87","-89,62","-1820,75","0,00","150,00","-8,33","0,00","-72,22","516,67","44,44","-77,78","552,78","17,48","62,14","0,00","13,59","-54,37","384,47","29,13","-5,83","446,60","38,71","75,81","20,97","3,23","9,68","332,26","16,13","0,00","496,77"
"-56,60","4,72","-66,04","-18,87","-683,96","-995,28","-42,45","-80,19","-1938,68","0,00","147,22","-16,67","0,00","-80,56","605,56","52,78","-97,22","611,11","17,48","69,90","-5,83","15,53","-69,90","436,89","33,01","-15,53","481,55","41,94","79,03","20,97","0,00","11,29","390,32","27,42","0,00","570,97"
"-51,89","-14,15","-70,75","-18,87","-698,11","-1037,74","-37,74","-89,62","-2018,87","-8,33","147,22","-16,67","0,00","-94,44","675,00","52,78","-100,00","655,56","15,53","69,90","-3,88","19,42","-69,90","469,90","34,95","-17,48","518,45","41,94","80,65","27,42","4,84","11,29","446,77","33,87","0,00","646,77"
"-37,74","-66,04","-75,47","-18,87","-716,98","-1056,60","-23,58","-99,06","-2094,34","-11,11","136,11","-30,56","-8,33","-111,11","725,00","55,56","-97,22","658,33","9,71","73,79","-9,71","23,30","-83,50","518,45","36,89","-19,42","549,51","43,55","96,77","27,42","11,29","14,52","496,77","32,26","0,00","722,58"
"-42,45","-117,92","-80,19","-18,87","-716,98","-1061,32","-14,15","-99,06","-2150,94","-16,67","111,11","-22,22","-2,78","-127,78","766,67","55,56","-97,22","666,67","7,77","73,79","-9,71","29,13","-83,50","543,69","38,83","-29,13","570,87","45,16","100,00","30,65","12,90","14,52","540,32","32,26","0,00","775,81"
"-37,74","-174,53","-94,34","-18,87","-721,70","-1070,75","-14,15","-99,06","-2231,13","-25,00","91,67","-25,00","-5,56","-147,22","788,89","58,33","-113,89","622,22","5,83","71,84","-13,59","29,13","-108,74","557,28","42,72","-23,30","561,17","41,94","108,06","27,42","9,68","12,90","564,52","32,26","0,00","796,77"
"-37,74","-235,85","-94,34","-18,87","-716,98","-1056,60","-9,43","-94,34","-2264,15","-30,56","61,11","-30,56","-2,78","-166,67","802,78","55,56","-116,67","572,22","3,88","66,02","-11,65","38,83","-132,04","563,11","38,83","-19,42","547,57","45,16","111,29","27,42","14,52","9,68","577,42","33,87","0,00","819,35"
"-37,74","-278,30","-99,06","-18,87","-707,55","-1047,17","-4,72","-103,77","-2297,17","-36,11","27,78","-30,56","-8,33","-186,11","788,89","58,33","-116,67","497,22","0,00","66,02","-17,48","40,78","-139,81","559,22","38,83","-19,42","528,16","43,55","117,74","24,19","19,35","6,45","580,65","33,87","0,00","825,81"
"-37,74","-306,60","-108,49","-18,87","-693,40","-1042,45","0,00","-94,34","-2301,89","-33,33","0,00","-50,00","0,00","-188,89","772,22","58,33","-116,67","441,67","0,00","58,25","-19,42","46,60","-157,28","541,75","34,95","-25,24","479,61","40,32","109,68","24,19","32,26","0,00","570,97","25,81","-3,23","800,00"
"-28,30","-330,19","-108,49","-18,87","-698,11","-1047,17","0,00","-99,06","-2330,19","-44,44","-22,22","-41,67","0,00","-205,56","744,44","55,56","-125,00","361,11","-1,94","50,49","-21,36","52,43","-165,05","526,21","29,13","-27,18","442,72","38,71","112,90","22,58","35,48","-4,84","561,29","24,19","-8,06","782,26"
"-28,30","-339,62","-108,49","-18,87","-683,96","-1018,87","0,00","-99,06","-2297,17","-50,00","-44,44","-44,44","2,78","-211,11","719,44","61,11","-130,56","302,78","-3,88","38,83","-25,24","54,37","-178,64","506,80","31,07","-29,13","394,17","38,71","111,29","25,81","37,10","-12,90","533,87","22,58","-8,06","748,39"
"-28,30","-339,62","-113,21","-18,87","-669,81","-966,98","9,43","-89,62","-2216,98","-52,78","-58,33","-50,00","8,33","-227,78","700,00","58,33","-130,56","247,22","-5,83","33,01","-27,18","60,19","-194,17","477,67","31,07","-29,13","345,63","35,48","109,68","20,97","46,77","-20,97","511,29","20,97","-6,45","717,74"
"-23,58","-353,77","-117,92","-18,87","-660,38","-933,96","14,15","-94,34","-2188,68","-63,89","-61,11","-47,22","13,89","-238,89","694,44","58,33","-133,33","222,22","-9,71","15,53","-27,18","62,14","-200,00","462,14","31,07","-31,07","302,91","32,26","114,52","22,58","51,61","-27,42","496,77","14,52","-4,84","700,00"
"-28,30","-349,06","-113,21","-18,87","-650,94","-863,21","18,87","-94,34","-2099,06","-58,33","-66,67","-52,78","13,89","-244,44","688,89","58,33","-133,33","205,56","-13,59","7,77","-29,13","71,84","-215,53","450,49","27,18","-33,01","266,02","30,65","111,29","24,19","51,61","-30,65","487,10","17,74","-9,68","682,26"
"-28,30","-344,34","-127,36","-18,87","-636,79","-792,45","23,58","-94,34","-2018,87","-66,67","-61,11","-61,11","13,89","-247,22","694,44","61,11","-138,89","194,44","-17,48","0,00","-29,13","73,79","-225,24","444,66","33,01","-33,01","246,60","25,81","104,84","25,81","51,61","-40,32","483,87","11,29","0,00","662,90"
"-33,02","-344,34","-127,36","-14,15","-636,79","-735,85","28,30","-99,06","-1962,26","-72,22","-66,67","-58,33","19,44","-258,33","708,33","58,33","-136,11","194,44","-21,36","-5,83","-33,01","79,61","-238,83","438,83","33,01","-33,01","219,42","22,58","108,06","25,81","54,84","-41,94","482,26","11,29","0,00","662,90"
"-42,45","-339,62","-132,08","-14,15","-622,64","-650,94","33,02","-103,77","-1872,64","-77,78","-58,33","-55,56","25,00","-269,44","719,44","58,33","-141,67","200,00","-25,24","-9,71","-34,95","83,50","-246,60","440,78","31,07","-33,01","205,83","19,35","103,23","32,26","59,68","-48,39","483,87","12,90","0,00","662,90"
"-47,17","-334,91","-136,79","0,00","-622,64","-608,49","42,45","-103,77","-1811,32","-77,78","-63,89","-55,56","33,33","-277,78","744,44","55,56","-141,67","216,67","-34,95","-15,53","-36,89","91,26","-254,37","444,66","33,01","-33,01","194,17","14,52","103,23","33,87","66,13","-58,06","491,94","11,29","0,00","662,90"
"-51,89","-325,47","-136,79","0,00","-627,36","-547,17","42,45","-103,77","-1750,00","-83,33","-61,11","-61,11","33,33","-291,67","750,00","66,67","-138,89","213,89","-36,89","-19,42","-34,95","97,09","-262,14","454,37","31,07","-33,01","196,12","11,29","100,00","33,87","74,19","-61,29","498,39","14,52","0,00","670,97"
"-56,60","-325,47","-146,23","0,00","-617,92","-481,13","47,17","-94,34","-1674,53","-88,89","-69,44","-63,89","30,56","-294,44","763,89","66,67","-138,89","205,56","-42,72","-21,36","-38,83","99,03","-269,90","460,19","33,01","-34,95","184,47","8,06","98,39","40,32","75,81","-77,42","511,29","14,52","0,00","670,97"
"-61,32","-316,04","-146,23","0,00","-622,64","-419,81","51,89","-94,34","-1608,49","-97,22","-75,00","-63,89","36,11","-294,44","775,00","63,89","-138,89","205,56","-46,60","-31,07","-36,89","104,85","-273,79","462,14","36,89","-33,01","182,52","4,84","96,77","40,32","75,81","-70,97","522,58","16,13","0,00","685,48"
"-66,04","-316,04","-146,23","0,00","-622,64","-363,21","56,60","-94,34","-1551,89","-102,78","-72,22","-66,67","41,67","-300,00","783,33","61,11","-147,22","197,22","-46,60","-31,07","-42,72","110,68","-287,38","466,02","40,78","-29,13","180,58","3,23","93,55","41,94","79,03","-72,58","535,48","9,68","0,00","690,32"
"-75,47","-306,60","-150,94","14,15","-622,64","-297,17","61,32","-103,77","-1481,13","-105,56","-77,78","-66,67","41,67","-316,67","783,33","69,44","-141,67","186,11","-46,60","-33,01","-36,89","108,74","-299,03","467,96","40,78","-33,01","168,93","0,00","90,32","48,39","77,42","-77,42","537,10","19,35","0,00","695,16"
