Macro-secteur;Filière;Détail ;Année;Marchés d'investissements intérieurs (M€);Marché - Fabrication des équipements en France pour marché intérieur (M€);Marché - Importation des équipements (M€);Marché - Vente et distribution des équipements (M€);Marché - Construction, installation, raccordement (M€);Marché - Montage de projets, études, DPE (M€);Marché - Exploitation-maintenance, vente intérieure d'énergie (M€);Marché - Exportation (équipements et/ou biocarburants) (M€);Marché - Total (M€);Emplois liés aux investissements;Emploi - Fabrication des équipements pour marché intérieur (ETP);Emploi - Vente et distribution des équipements (ETP);Emploi - Construction, installation, raccordement (ETP);Emploi - Montage de projets, études, DPE (ETP);Emploi - Exploitation-maintenance, vente intérieure d'énergie (ETP);Emploi - Exportations (équipements et/ou biocarburants) (ETP);Emploi - Total (ETP)
Transport;IRVE ouvertes au public;Infrastructures de recharge des véhicules électriques (IRVE);2017;17;8;0;0;9;0;0;0;17;90;40;0;50;0;0;0;90
Transport;IRVE ouvertes au public;Infrastructures de recharge des véhicules électriques (IRVE);2018;50;29;0;0;21;0;0;0;50;260;150;0;110;0;0;0;260
Transport;IRVE ouvertes au public;Infrastructures de recharge des véhicules électriques (IRVE);2019;64;32;0;0;32;0;0;0;64;340;170;0;170;0;0;0;340
Transport;IRVE ouvertes au public;Infrastructures de recharge des véhicules électriques (IRVE);2020;80;48;0;0;32;0;0;0;80;450;270;0;180;0;0;0;450
Transport;IRVE ouvertes au public;Infrastructures de recharge des véhicules électriques (IRVE);2021;241;121;0;0;120;0;0;0;241;1 190;580;0;610;0;0;0;1 190
Transport;IRVE ouvertes au public;Infrastructures de recharge des véhicules électriques (IRVE);2022;434;246;0;0;188;0;0;0;434;2 140;1 180;0;960;0;0;0;2 140
Transport;Véhicules hybrides rechargeables;;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Véhicules hybrides rechargeables;;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Véhicules hybrides rechargeables;;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Véhicules hybrides rechargeables;;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Véhicules hybrides rechargeables;;2010;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Transport;Véhicules hybrides rechargeables;;2011;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Transport;Véhicules hybrides rechargeables;;2012;20;0;18;2;0;0;0;0;20;30;0;30;0;0;0;0;30
Transport;Véhicules hybrides rechargeables;;2013;28;0;25;3;0;0;0;0;28;40;0;40;0;0;0;0;40
Transport;Véhicules hybrides rechargeables;;2014;77;0;69;8;0;0;0;0;77;110;0;110;0;0;0;0;110
Transport;Véhicules hybrides rechargeables;;2015;250;0;225;25;0;0;0;0;250;300;0;300;0;0;0;0;300
Transport;Véhicules hybrides rechargeables;;2016;380;0;343;37;0;0;0;0;380;450;0;450;0;0;0;0;450
Transport;Véhicules hybrides rechargeables;;2017;592;0;531;61;0;0;0;0;592;720;0;720;0;0;0;0;720
Transport;Véhicules hybrides rechargeables;;2018;788;0;704;84;0;0;0;0;788;980;0;980;0;0;0;0;980
Transport;Véhicules hybrides rechargeables;;2019;1 018;14;894;110;0;0;0;83;1 101;1 300;20;1 280;0;0;0;120;1 420
Transport;Véhicules hybrides rechargeables;;2020;3 349;547;2 419;383;0;0;0;370;3 719;6 000;1 000;5 000;0;0;0;680;6 680
Transport;Véhicules hybrides rechargeables;;2021;6 367;1 301;4 345;721;0;0;0;944;7 311;10 710;2 170;8 540;0;0;0;1 570;12 280
Transport;Véhicules hybrides rechargeables;;2022;6 126;943;4 489;694;0;0;0;949;7 075;9 780;1 570;8 210;0;0;0;1 580;11 360
Transport;Véhicules hybrides non rechargeables;;2006;129;0;113;16;0;0;0;0;129;260;0;260;0;0;0;0;260
Transport;Véhicules hybrides non rechargeables;;2007;145;0;132;13;0;0;0;0;145;240;0;240;0;0;0;0;240
Transport;Véhicules hybrides non rechargeables;;2008;177;0;158;19;0;0;0;0;177;340;0;340;0;0;0;0;340
Transport;Véhicules hybrides non rechargeables;;2009;212;0;190;22;0;0;0;0;212;340;0;340;0;0;0;0;340
Transport;Véhicules hybrides non rechargeables;;2010;220;0;198;22;0;0;0;0;220;330;0;330;0;0;0;0;330
Transport;Véhicules hybrides non rechargeables;;2011;321;0;289;32;0;0;0;0;321;430;0;430;0;0;0;0;430
Transport;Véhicules hybrides non rechargeables;;2012;669;6;592;71;0;0;0;0;669;960;10;950;0;0;0;0;960
Transport;Véhicules hybrides non rechargeables;;2013;1 184;590;469;125;0;0;0;0;1 184;3 030;1 330;1 700;0;0;0;0;3 030
Transport;Véhicules hybrides non rechargeables;;2014;1 108;455;537;116;0;0;0;671;1 779;2 460;950;1 510;0;0;0;1 410;3 870
Transport;Véhicules hybrides non rechargeables;;2015;1 525;654;718;153;0;0;0;917;2 442;3 060;1 220;1 840;0;0;0;1 710;4 770
Transport;Véhicules hybrides non rechargeables;;2016;1 423;348;936;139;0;0;0;1 024;2 447;2 290;590;1 700;0;0;0;1 750;4 040
Transport;Véhicules hybrides non rechargeables;;2017;1 785;301;1 299;185;0;0;0;1 430;3 215;2 620;460;2 160;0;0;0;2 190;4 810
Transport;Véhicules hybrides non rechargeables;;2018;2 475;388;1 822;265;0;0;0;1 790;4 265;3 660;580;3 080;0;0;0;2 690;6 350
Transport;Véhicules hybrides non rechargeables;;2019;3 328;321;2 647;360;0;0;0;1 991;5 319;4 680;480;4 200;0;0;0;2 960;7 640
Transport;Véhicules hybrides non rechargeables;;2020;4 634;278;3 826;530;0;0;0;1 724;6 358;7 430;510;6 920;0;0;0;3 150;10 580
Transport;Véhicules hybrides non rechargeables;;2021;8 004;619;6 478;907;0;0;0;2 571;10 575;11 760;1 030;10 730;0;0;0;4 280;16 040
Transport;Véhicules hybrides non rechargeables;;2022;9 815;1 106;7 597;1 112;0;0;0;3 969;13 784;15 000;1 840;13 160;0;0;0;6 610;21 610
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2012;18;0;0;0;18;0;0;0;18;50;0;0;50;0;0;0;50
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2014;2;0;0;0;2;0;0;0;2;10;0;0;10;0;0;0;10
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2015;18;2;12;2;2;0;0;0;18;40;0;30;10;0;0;0;40
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2016;45;5;26;6;8;0;0;1;46;90;10;60;20;0;0;0;90
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2017;111;13;61;15;22;0;0;2;113;250;30;150;70;0;0;0;250
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2018;159;18;79;20;42;0;0;3;162;360;30;200;130;0;0;10;370
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2019;172;18;103;25;26;0;0;3;175;370;40;250;80;0;0;10;380
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2020;198;24;103;29;42;0;0;4;202;490;60;290;140;0;0;10;500
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2021;320;56;150;46;68;0;0;10;330;780;110;470;200;0;0;20;800
Transport;Gaz Naturel pour Véhicules (GNV) ;Poids lourds, VUL, stations d'avitaillement;2022;289;54;144;44;47;0;0;10;299;710;110;460;140;0;0;20;730
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2015;51;14;29;8;0;0;0;14;65;120;40;80;0;0;0;40;160
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2016;66;19;37;10;0;0;0;18;84;150;40;110;0;0;0;40;190
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2017;90;25;50;15;0;0;0;25;115;200;50;150;0;0;0;50;250
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2018;87;24;48;15;0;0;0;24;111;200;50;150;0;0;0;50;250
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2019;228;63;125;40;0;0;0;63;291;520;130;390;0;0;0;120;640
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2020;411;112;223;76;0;0;0;112;523;1 050;280;770;0;0;0;280;1 330
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2021;542;148;295;99;0;0;0;147;689;1 320;300;1 020;0;0;0;300;1 620
Transport;Gaz Naturel pour Véhicules (GNV) ;Autobus et autocars ;2022;502;137;273;92;0;0;0;136;638;1 220;270;950;0;0;0;270;1 490
EnR&R;Réseaux de chaleur;;2006;49;6;10;1;28;4;154;0;203;250;20;40;160;30;1 310;0;1 560
EnR&R;Réseaux de chaleur;;2007;61;8;12;1;35;5;147;0;208;300;30;50;190;30;1 150;0;1 450
EnR&R;Réseaux de chaleur;;2008;79;10;16;1;45;7;166;0;245;390;40;60;250;40;1 270;0;1 660
EnR&R;Réseaux de chaleur;;2009;100;13;20;2;57;8;190;0;290;560;50;90;360;60;1 480;0;2 040
EnR&R;Réseaux de chaleur;;2010;106;14;21;2;60;9;191;0;297;580;50;90;380;60;1 440;0;2 020
EnR&R;Réseaux de chaleur;;2011;121;16;24;2;69;10;151;0;272;630;50;100;420;60;1 080;0;1 710
EnR&R;Réseaux de chaleur;;2012;160;21;32;3;91;13;178;0;338;830;70;140;540;80;1 250;0;2 080
EnR&R;Réseaux de chaleur;;2013;228;30;45;4;130;19;194;0;422;1 180;110;190;760;120;1 350;0;2 530
EnR&R;Réseaux de chaleur;;2014;309;41;62;5;176;25;202;0;511;1 630;150;260;1 060;160;1 350;0;2 980
EnR&R;Réseaux de chaleur;;2015;259;34;52;4;148;21;211;0;470;1 340;130;210;870;130;1 380;0;2 720
EnR&R;Réseaux de chaleur;;2016;240;32;48;4;136;20;240;0;480;1 230;120;190;800;120;1 560;0;2 790
EnR&R;Réseaux de chaleur;;2017;145;19;29;2;83;12;251;0;396;700;60;110;460;70;1 570;0;2 270
EnR&R;Réseaux de chaleur;;2018;182;24;36;3;104;15;260;0;442;850;70;140;550;90;1 570;0;2 420
EnR&R;Réseaux de chaleur;;2019;235;31;47;4;134;19;265;0;500;1 060;100;180;670;110;1 590;0;2 650
EnR&R;Réseaux de chaleur;;2020;272;35;54;5;156;22;283;0;555;1 260;120;210;820;110;1 840;0;3 100
EnR&R;Réseaux de chaleur;;2021;343;45;68;6;196;28;300;0;643;1 580;130;270;1 050;130;1 770;0;3 350
EnR&R;Réseaux de chaleur;;2022;310;40;61;5;178;26;335;0;645;1 430;120;240;950;120;1 980;0;3 410
EnR&R;Réseaux de froid;;2006;35;5;7;1;19;3;4;0;39;180;20;30;110;20;40;0;220
EnR&R;Réseaux de froid;;2007;36;5;7;1;20;3;5;0;41;180;20;30;110;20;40;0;220
EnR&R;Réseaux de froid;;2008;0;0;0;0;0;0;7;0;7;0;0;0;0;0;50;0;50
EnR&R;Réseaux de froid;;2009;5;1;1;0;3;0;7;0;12;30;0;10;20;0;50;0;80
EnR&R;Réseaux de froid;;2010;21;3;4;0;12;2;7;0;28;110;10;20;70;10;50;0;160
EnR&R;Réseaux de froid;;2011;9;1;2;0;5;1;7;0;16;40;0;10;30;0;50;0;90
EnR&R;Réseaux de froid;;2012;21;3;4;0;12;2;7;0;28;110;10;20;70;10;50;0;160
EnR&R;Réseaux de froid;;2013;7;1;1;0;4;1;8;0;15;30;0;10;20;0;60;0;90
EnR&R;Réseaux de froid;;2014;5;1;1;0;3;0;8;0;13;20;0;0;20;0;50;0;70
EnR&R;Réseaux de froid;;2015;58;8;12;1;32;5;8;0;66;300;30;50;190;30;50;0;350
EnR&R;Réseaux de froid;;2016;53;7;11;1;30;4;8;0;61;280;30;40;180;30;50;0;330
EnR&R;Réseaux de froid;;2017;1;0;0;0;1;0;10;0;11;10;0;0;10;0;60;0;70
EnR&R;Réseaux de froid;;2018;1;0;0;0;1;0;11;0;12;10;0;0;10;0;70;0;80
EnR&R;Réseaux de froid;;2019;28;4;6;0;16;2;10;0;38;120;10;20;80;10;60;0;180
EnR&R;Réseaux de froid;;2020;32;4;6;1;18;3;11;0;43;130;10;20;90;10;70;0;200
EnR&R;Réseaux de froid;;2021;35;5;7;1;19;3;11;0;46;150;10;30;100;10;60;0;210
EnR&R;Réseaux de froid;;2022;32;4;6;1;18;3;10;0;42;140;10;20;100;10;60;0;200
EnR&R;Hydroélectricité;;2006;145;20;23;0;87;15;2 515;45;2 705;470;90;0;270;110;7 340;200;8 010
EnR&R;Hydroélectricité;;2007;227;25;43;0;136;23;2 624;63;2 914;690;110;0;420;160;7 750;290;8 730
EnR&R;Hydroélectricité;;2008;253;43;33;0;152;25;4 153;91;4 497;880;200;0;510;170;8 110;420;9 410
EnR&R;Hydroélectricité;;2009;353;79;27;0;212;35;3 337;58;3 748;1 330;350;0;730;250;7 930;260;9 520
EnR&R;Hydroélectricité;;2010;741;194;28;0;445;74;3 653;78;4 472;2 780;690;0;1 560;530;8 020;280;11 080
EnR&R;Hydroélectricité;;2011;623;154;33;0;374;62;2 758;126;3 507;2 190;510;0;1 250;430;8 100;420;10 710
EnR&R;Hydroélectricité;;2012;1 173;326;26;0;704;117;3 246;117;4 536;4 440;1 190;0;2 410;840;8 830;430;13 700
EnR&R;Hydroélectricité;;2013;822;217;30;0;493;82;3 686;72;4 580;3 230;860;0;1 790;580;9 120;290;12 640
EnR&R;Hydroélectricité;;2014;826;220;27;0;496;83;2 911;76;3 813;3 290;870;0;1 840;580;9 010;300;12 600
EnR&R;Hydroélectricité;;2015;878;227;36;0;527;88;2 682;91;3 651;3 430;770;0;2 030;630;9 030;310;12 770
EnR&R;Hydroélectricité;;2016;821;215;31;0;493;82;2 568;72;3 461;3 260;720;0;1 960;580;9 070;240;12 570
EnR&R;Hydroélectricité;;2017;738;200;21;0;443;74;2 113;44;2 895;3 020;670;0;1 830;520;9 270;150;12 440
EnR&R;Hydroélectricité;;2018;528;141;18;0;316;53;2 523;48;3 099;2 260;530;0;1 350;380;9 700;180;12 140
EnR&R;Hydroélectricité;;2019;721;199;17;0;433;72;2 333;40;3 094;3 070;660;0;1 910;500;9 770;130;12 970
EnR&R;Hydroélectricité;;2020;658;178;19;0;395;66;2 771;30;3 459;2 940;650;0;1 810;480;9 650;110;12 700
EnR&R;Hydroélectricité;;2021;675;187;15;0;405;68;3 679;29;4 383;3 050;650;0;1 920;480;10 110;100;13 260
EnR&R;Hydroélectricité;;2022;770;216;15;0;462;77;3 372;25;4 167;3 550;750;0;2 260;540;11 300;90;14 940
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2006;1 042;146;42;352;502;0;31;104;1 177;6 900;980;2 780;3 140;0;320;700;7 920
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2007;1 379;112;127;476;664;0;48;235;1 662;8 130;600;3 540;3 990;0;480;1 250;9 860
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2008;3 077;337;90;975;1 675;0;82;153;3 312;15 540;1 470;6 160;7 910;0;720;670;16 930
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2009;2 509;473;60;918;1 058;0;111;41;2 661;16 590;2 510;7 800;6 280;0;880;220;17 690
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2010;2 068;255;250;765;798;0;134;85;2 287;14 050;1 680;6 800;5 570;0;1 060;560;15 670
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2011;1 579;213;225;611;530;0;155;148;1 882;11 760;1 410;5 880;4 470;0;1 320;980;14 060
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2012;1 464;215;208;536;505;0;177;188;1 829;11 070;1 540;5 340;4 190;0;1 440;1 340;13 850
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2013;1 485;255;230;544;456;0;201;161;1 847;10 930;1 840;5 340;3 750;0;1 650;1 160;13 740
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2014;1 607;214;278;555;560;0;230;163;2 000;11 540;1 490;5 540;4 510;0;1 850;1 140;14 530
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2015;1 623;275;249;561;538;0;262;156;2 041;11 880;2 120;5 280;4 480;0;2 190;1 200;15 270
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2016;1 658;288;269;566;535;0;298;213;2 169;11 500;1 980;5 060;4 460;0;2 480;1 460;15 440
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2017;1 880;338;279;650;613;0;337;216;2 433;13 630;2 280;6 250;5 100;0;2 800;1 460;17 890
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2018;2 249;331;340;780;798;0;383;256;2 888;16 240;2 020;7 570;6 650;0;3 190;1 560;20 990
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2019;3 752;516;618;1 287;1 331;0;449;267;4 468;26 470;3 430;11 950;11 090;0;3 740;1 780;31 990
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2020;4 133;466;715;1 405;1 547;0;518;217;4 868;29 820;3 130;13 800;12 890;0;4 320;1 460;35 600
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2021;6 315;646;1 043;2 168;2 458;0;617;229;7 161;43 570;3 580;19 510;20 480;0;5 140;1 270;49 980
EnR&R;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET);2022;7 842;1 698;457;2 840;2 847;0;726;195;8 763;58 650;9 380;25 550;23 720;0;6 050;1 080;65 780
EnR&R;Éolien terrestre;;2006;1 112;77;624;0;349;62;188;455;1 755;3 250;380;0;2 400;470;390;2 450;6 090
EnR&R;Éolien terrestre;;2007;1 030;68;581;0;323;58;345;492;1 867;2 970;350;0;2 180;440;570;2 510;6 050
EnR&R;Éolien terrestre;;2008;1 618;112;907;0;508;91;484;539;2 641;4 180;520;0;3 020;640;810;2 750;7 740
EnR&R;Éolien terrestre;;2009;1 382;101;770;0;434;77;676;549;2 607;3 970;540;0;2 860;570;1 070;2 980;8 020
EnR&R;Éolien terrestre;;2010;1 698;118;952;0;533;95;841;549;3 088;4 950;560;0;3 620;770;1 350;3 010;9 310
EnR&R;Éolien terrestre;;2011;1 045;80;567;0;329;69;1 033;574;2 652;2 950;340;0;2 060;550;1 540;2 990;7 480
EnR&R;Éolien terrestre;;2012;1 045;82;554;0;329;80;1 310;598;2 953;3 160;410;0;2 110;640;1 720;3 240;8 120
EnR&R;Éolien terrestre;;2013;906;84;458;0;286;78;1 421;621;2 948;2 840;460;0;1 750;630;1 850;3 430;8 120
EnR&R;Éolien terrestre;;2014;1 641;135;832;0;518;156;1 534;645;3 820;5 310;640;0;3 420;1 250;2 120;3 570;11 000
EnR&R;Éolien terrestre;;2015;1 375;114;682;0;435;144;1 889;666;3 930;4 390;560;0;2 680;1 150;2 330;3 720;10 440
